label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
1	239	3.702895	81.900246	3.702895	81.900246	-0.250578	0.838849	2.000000	3.000000	4.000000	5.000000	1.000000	68.000000	45.000000	44.000000	37.000000	13.000000	28.451883	18.828452	18.410042	15.481172	5.439331	0.081784	0.552363	101.000000	98.000000	74.000000	71.000000	173.000000	8.000000	6.000000	6.000000	6.000000	5.000000	3.347280	2.510460	2.510460	2.510460	2.092050	5975	29	39	52	37.492000	0	255	253	121	120	4740	138	22	22	20	79	2	0	0	0	0	255	254	252	253	4740	176	72	38	31	79	2	1	0	0	0	255	253	252	254	4740	1217	5	5	4	79	20	0	0	0
1	355	3.946429	89.051709	0.243535	7.151463	-0.075138	1.126759	3.000000	2.000000	4.000000	5.000000	1.000000	90.000000	83.000000	83.000000	32.000000	14.000000	25.352113	23.380282	23.380282	9.014085	3.943662	0.384766	0.576098	51.000000	115.000000	101.000000	86.000000	52.000000	7.000000	6.000000	6.000000	6.000000	6.000000	1.971831	1.690141	1.690141	1.690141	1.690141	8875	46	56	66	54.150000	0	255	253	254	179	6557	492	64	30	27	73	5	0	0	0	0	255	254	252	253	6557	710	144	124	111	73	8	1	1	1	0	255	253	252	250	6557	2202	34	31	19	73	24	0	0	0
1	278	4.083259	67.376315	0.136830	21.675394	0.023433	0.254131	2.000000	5.000000	6.000000	4.000000	3.000000	79.000000	44.000000	43.000000	33.000000	27.000000	28.417266	15.827338	15.467626	11.870504	9.712230	0.635550	0.098761	7.000000	358.000000	24.000000	18.000000	15.000000	7.000000	7.000000	6.000000	6.000000	6.000000	2.517986	2.517986	2.158273	2.158273	2.158273	6950	35	47	59	44.780000	0	255	169	161	167	5334	156	27	25	23	76	2	0	0	0	0	255	254	252	253	5334	242	120	77	48	76	3	1	1	0	0	255	252	254	253	5334	1574	12	8	8	76	22	0	0	0
1	379	4.832279	72.532502	0.749020	5.156187	0.563019	0.461713	6.000000	2.000000	3.000000	5.000000	7.000000	69.000000	58.000000	58.000000	55.000000	41.000000	18.205805	15.303430	15.303430	14.511873	10.817942	0.641310	0.183069	3.000000	356.000000	349.000000	6.000000	0.000000	14.000000	9.000000	9.000000	8.000000	8.000000	3.693931	2.374670	2.374670	2.110818	2.110818	9475	23	33	46	31.492000	0	183	79	118	104	7765	26	24	22	21	81	0	0	0	0	0	252	253	254	255	7765	43	41	35	30	81	0	0	0	0	0	255	252	253	254	7765	1696	8	4	1	81	17	0	0	0
1	238	2.918541	58.600966	1.913738	13.931536	-0.815619	-0.099155	2.000000	3.000000	4.000000	5.000000	1.000000	91.000000	76.000000	21.000000	20.000000	17.000000	38.235294	31.932773	8.823529	8.403361	7.142857	0.667979	0.079470	6.000000	359.000000	334.000000	328.000000	355.000000	6.000000	5.000000	5.000000	5.000000	4.000000	2.521008	2.100840	2.100840	2.100840	1.680672	5950	18	30	48	28.464000	0	119	131	121	120	4821	29	22	22	22	81	0	0	0	0	0	221	201	182	103	4821	24	20	20	17	81	0	0	0	0	0	255	254	253	252	4821	1129	0	0	0	81	18	0	0	0
1	248	2.994743	73.230946	0.076202	14.629980	-0.760723	0.489832	2.000000	3.000000	4.000000	5.000000	1.000000	92.000000	62.000000	36.000000	28.000000	19.000000	37.096774	25.000000	14.516129	11.290323	7.661290	0.315012	0.242602	356.000000	358.000000	351.000000	349.000000	346.000000	6.000000	4.000000	4.000000	4.000000	4.000000	2.419355	1.612903	1.612903	1.612903	1.612903	6200	21	32	49	30.649000	0	143	142	60	161	5004	23	18	18	17	80	0	0	0	0	0	210	220	94	218	5004	23	19	18	17	80	0	0	0	0	0	255	253	254	252	5004	1195	1	0	0	80	19	0	0	0
1	121	2.911833	75.669320	0.082910	2.438375	-0.820451	0.587998	2.000000	3.000000	4.000000	5.000000	1.000000	52.000000	31.000000	12.000000	11.000000	9.000000	42.975207	25.619835	9.917355	9.090909	7.438017	-0.138039	0.336951	150.000000	270.000000	151.000000	324.000000	300.000000	3.000000	3.000000	3.000000	2.000000	2.000000	2.479339	2.479339	2.479339	1.652893	1.652893	3025	19	29	48	28.176000	0	108	96	68	66	2455	17	16	13	13	81	0	0	0	0	0	160	126	156	166	2455	18	16	13	12	81	0	0	0	0	0	255	253	254	252	2455	569	1	0	0	81	18	0	0	0
1	220	5.151278	97.531237	2.239445	21.861917	0.792823	1.468136	4.000000	3.000000	5.000000	2.000000	6.000000	39.000000	33.000000	32.000000	29.000000	14.000000	17.727273	15.000000	14.545455	13.181818	6.363636	-0.654860	0.538788	164.000000	168.000000	158.000000	98.000000	169.000000	7.000000	6.000000	6.000000	6.000000	5.000000	3.181818	2.727273	2.727273	2.727273	2.272727	5500	9	13	25	13.172000	0	76	75	61	73	4948	16	16	14	13	89	0	0	0	0	0	94	128	123	116	4948	16	15	15	14	89	0	0	0	0	0	255	251	254	253	4948	551	1	0	0	89	10	0	0	0
1	133	3.197792	41.735317	1.953486	55.795920	-0.614449	-0.778149	2.000000	5.000000	3.000000	4.000000	6.000000	57.000000	24.000000	21.000000	19.000000	7.000000	42.857143	18.045113	15.789474	14.285714	5.263158	0.731178	-0.259384	5.000000	320.000000	319.000000	277.000000	7.000000	4.000000	4.000000	4.000000	4.000000	4.000000	3.007519	3.007519	3.007519	3.007519	3.007519	3325	30	38	51	37.090000	0	255	244	249	248	2650	29	15	10	10	79	0	0	0	0	0	255	253	254	252	2650	54	46	44	28	79	1	1	1	0	0	255	253	251	252	2650	663	3	3	2	79	19	0	0	0
1	35	2.642914	67.459796	0.554878	25.724479	-1.014178	0.257492	2.000000	3.000000	1.000000	5.000000	4.000000	12.000000	10.000000	6.000000	4.000000	3.000000	34.285714	28.571429	17.142857	11.428571	8.571429	-0.519165	-0.037472	166.000000	168.000000	167.000000	173.000000	171.000000	4.000000	3.000000	3.000000	2.000000	2.000000	11.428571	8.571429	8.571429	5.714286	5.714286	875	1	2	3	1.815000	0	71	111	108	107	862	2	1	1	1	98	0	0	0	0	0	152	108	159	151	862	2	2	1	1	98	0	0	0	0	0	255	254	253	252	862	13	0	0	0	98	1	0	0	0
1	185	2.959663	95.109620	0.316750	27.649824	-0.785994	1.370644	2.000000	3.000000	4.000000	1.000000	6.000000	71.000000	49.000000	22.000000	18.000000	12.000000	38.378378	26.486486	11.891892	9.729730	6.486486	-0.320228	0.504613	113.000000	162.000000	155.000000	177.000000	176.000000	5.000000	5.000000	5.000000	4.000000	4.000000	2.702703	2.702703	2.702703	2.162162	2.162162	4625	35	46	58	44.079000	0	255	131	142	136	3567	24	19	16	15	77	0	0	0	0	0	255	254	252	253	3567	89	61	52	48	77	1	1	1	1	0	255	252	251	250	3567	1027	7	5	5	77	22	0	0	0
1	244	3.435748	70.670690	0.476084	24.438930	-0.443028	0.386759	2.000000	4.000000	3.000000	5.000000	1.000000	77.000000	39.000000	36.000000	30.000000	25.000000	31.557377	15.983607	14.754098	12.295082	10.245902	-0.045719	0.124661	159.000000	160.000000	164.000000	333.000000	172.000000	8.000000	7.000000	6.000000	5.000000	5.000000	3.278689	2.868852	2.459016	2.049180	2.049180	6100	38	48	63	46.720000	0	255	148	146	143	4576	30	23	23	23	75	0	0	0	0	0	252	255	251	254	4576	77	75	58	48	75	1	1	0	0	0	255	252	250	253	4576	1494	16	5	4	75	24	0	0	0
1	265	4.223492	15.543258	0.787745	55.127433	0.124456	-1.832613	2.000000	3.000000	4.000000	5.000000	7.000000	63.000000	55.000000	46.000000	27.000000	25.000000	23.773585	20.754717	17.358491	10.188679	9.433962	0.531596	-0.595358	297.000000	317.000000	296.000000	318.000000	316.000000	8.000000	8.000000	7.000000	6.000000	6.000000	3.018868	3.018868	2.641509	2.264151	2.264151	6625	19	28	39	26.563000	0	169	167	161	173	5607	27	20	19	18	84	0	0	0	0	0	252	254	245	238	5607	47	36	21	20	84	0	0	0	0	0	255	252	251	254	5607	1014	2	2	0	84	15	0	0	0
1	345	7.737962	18.326528	3.514469	2.783271	2.656245	-1.720561	12.000000	5.000000	4.000000	6.000000	2.000000	82.000000	63.000000	33.000000	31.000000	30.000000	23.768116	18.260870	9.565217	8.985507	8.695652	0.239217	-0.621189	296.000000	292.000000	284.000000	290.000000	308.000000	13.000000	12.000000	12.000000	11.000000	10.000000	3.768116	3.478261	3.478261	3.188406	2.898551	8625	40	52	61	49.438000	0	255	253	251	201	6556	147	53	28	28	76	1	0	0	0	0	255	254	251	253	6556	266	109	97	93	76	3	1	1	1	0	255	253	252	254	6556	2052	10	4	2	76	23	0	0	0
1	250	5.510813	73.775565	2.227149	55.449037	1.051829	0.511758	2.000000	3.000000	12.000000	4.000000	6.000000	79.000000	37.000000	31.000000	20.000000	17.000000	31.600000	14.800000	12.400000	8.000000	6.800000	0.445409	0.287557	359.000000	332.000000	13.000000	354.000000	352.000000	6.000000	5.000000	5.000000	4.000000	4.000000	2.400000	2.000000	2.000000	1.600000	1.600000	6250	36	46	56	44.150000	0	255	175	167	173	4857	64	36	25	24	77	1	0	0	0	0	255	253	254	252	4857	113	104	91	79	77	1	1	1	1	0	255	254	252	253	4857	1376	6	6	3	77	22	0	0	0
1	196	2.873590	56.913564	2.637222	16.862002	-0.848001	-0.167088	2.000000	4.000000	3.000000	1.000000	5.000000	69.000000	50.000000	49.000000	17.000000	6.000000	35.204082	25.510204	25.000000	8.673469	3.061224	0.182004	-0.097052	8.000000	157.000000	329.000000	328.000000	313.000000	5.000000	5.000000	4.000000	4.000000	4.000000	2.551020	2.551020	2.040816	2.040816	2.040816	4900	43	55	66	52.666000	0	201	177	175	197	3626	25	23	23	22	74	0	0	0	0	0	253	254	255	252	3626	101	93	79	67	74	2	1	1	1	0	255	253	254	252	3626	1233	17	10	10	74	25	0	0	0
1	355	5.998965	98.273694	3.125374	41.360131	1.403488	1.498027	8.000000	7.000000	2.000000	6.000000	9.000000	66.000000	61.000000	59.000000	35.000000	32.000000	18.591549	17.183099	16.619718	9.859155	9.014085	0.075307	0.897034	93.000000	85.000000	88.000000	86.000000	79.000000	16.000000	15.000000	14.000000	14.000000	12.000000	4.507042	4.225352	3.943662	3.943662	3.380282	8875	25	37	55	35.464000	0	73	75	74	76	6957	51	47	47	45	78	0	0	0	0	0	254	253	252	122	6957	81	65	56	51	78	0	0	0	0	0	255	253	252	248	6957	1895	9	7	2	78	21	0	0	0
1	314	6.790627	99.476179	0.791663	1.202485	1.973794	1.546437	7.000000	8.000000	6.000000	2.000000	12.000000	51.000000	44.000000	42.000000	40.000000	37.000000	16.242038	14.012739	13.375796	12.738854	11.783439	-0.162553	0.861827	117.000000	116.000000	115.000000	68.000000	80.000000	11.000000	10.000000	10.000000	10.000000	9.000000	3.503185	3.184713	3.184713	3.184713	2.866242	7850	24	37	52	34.823000	0	137	132	136	139	6244	69	43	36	35	79	0	0	0	0	0	254	252	245	189	6244	48	40	26	26	79	0	0	0	0	0	255	253	252	251	6244	1590	8	5	2	79	20	0	0	0
1	383	8.286653	1.580747	1.496026	97.895432	3.051517	-2.394729	9.000000	12.000000	7.000000	8.000000	6.000000	61.000000	61.000000	52.000000	50.000000	36.000000	15.926893	15.926893	13.577023	13.054830	9.399478	0.515924	-0.807409	292.000000	295.000000	297.000000	294.000000	307.000000	15.000000	15.000000	14.000000	13.000000	12.000000	3.916449	3.916449	3.655352	3.394256	3.133159	9575	25	36	54	34.763000	0	78	81	83	79	7523	33	32	31	31	78	0	0	0	0	0	146	128	252	147	7523	39	39	34	33	78	0	0	0	0	0	255	252	254	253	7523	2050	2	0	0	78	21	0	0	0
1	277	6.408828	97.528675	1.877825	95.947928	1.698750	1.468033	2.000000	3.000000	9.000000	12.000000	8.000000	39.000000	39.000000	30.000000	29.000000	26.000000	14.079422	14.079422	10.830325	10.469314	9.386282	-0.172695	0.697817	64.000000	104.000000	132.000000	127.000000	119.000000	6.000000	6.000000	5.000000	5.000000	5.000000	2.166065	2.166065	1.805054	1.805054	1.805054	6925	21	32	48	30.535000	0	74	76	67	136	5600	28	24	21	20	80	0	0	0	0	0	116	173	128	120	5600	25	21	21	21	80	0	0	0	0	0	255	254	253	252	5600	1325	0	0	0	80	19	0	0	0
1	129	3.476281	89.791408	2.932547	7.737267	-0.413828	1.156539	2.000000	3.000000	7.000000	4.000000	6.000000	53.000000	26.000000	13.000000	10.000000	10.000000	41.085271	20.155039	10.077519	7.751938	7.751938	-0.614590	0.488705	148.000000	149.000000	162.000000	116.000000	165.000000	6.000000	6.000000	5.000000	5.000000	4.000000	4.651163	4.651163	3.875969	3.875969	3.100775	3225	16	26	44	25.062000	0	83	84	132	80	2662	24	15	13	13	82	0	0	0	0	0	140	142	131	202	2662	26	16	15	14	82	0	0	0	0	0	255	254	253	252	2662	563	0	0	0	82	17	0	0	0
1	313	6.653194	98.553398	3.176913	8.761989	1.874789	1.509287	2.000000	12.000000	4.000000	5.000000	6.000000	47.000000	45.000000	42.000000	38.000000	28.000000	15.015974	14.376997	13.418530	12.140575	8.945687	-0.382189	0.797374	120.000000	116.000000	137.000000	117.000000	118.000000	12.000000	11.000000	10.000000	10.000000	9.000000	3.833866	3.514377	3.194888	3.194888	2.875399	7825	23	34	51	32.649000	0	93	83	80	76	6256	29	29	27	24	79	0	0	0	0	0	140	142	138	198	6256	33	26	26	24	79	0	0	0	0	0	255	253	251	246	6256	1556	4	2	2	79	19	0	0	0
1	74	2.539795	66.101071	4.113399	32.452327	-1.088464	0.202791	2.000000	3.000000	1.000000	4.000000	5.000000	35.000000	13.000000	10.000000	10.000000	4.000000	47.297297	17.567568	13.513514	13.513514	5.405405	-0.023789	0.224240	93.000000	300.000000	103.000000	306.000000	290.000000	3.000000	3.000000	3.000000	2.000000	2.000000	4.054054	4.054054	4.054054	2.702703	2.702703	1850	30	46	62	43.040000	0	127	135	125	138	1395	19	16	16	15	75	1	0	0	0	0	208	195	194	215	1395	16	15	15	13	75	0	0	0	0	0	255	254	253	252	1395	455	0	0	0	75	24	0	0	0
1	132	2.540377	45.417542	0.000582	20.683529	-1.088044	-0.629906	2.000000	3.000000	1.000000	4.000000	5.000000	53.000000	47.000000	15.000000	13.000000	2.000000	40.151515	35.606061	11.363636	9.848485	1.515152	0.267908	-0.105709	270.000000	329.000000	318.000000	325.000000	273.000000	4.000000	4.000000	4.000000	3.000000	3.000000	3.030303	3.030303	3.030303	2.272727	2.272727	3300	30	44	60	41.638000	0	136	128	138	130	2519	25	23	22	22	76	0	0	0	0	0	225	223	220	234	2519	18	18	18	17	76	0	0	0	0	0	255	254	253	252	2519	781	0	0	0	76	23	0	0	0
1	249	3.939071	86.330619	1.398694	40.913077	-0.080439	1.017211	3.000000	2.000000	4.000000	1.000000	5.000000	64.000000	59.000000	29.000000	21.000000	21.000000	25.702811	23.694779	11.646586	8.433735	8.433735	0.248112	0.537422	114.000000	111.000000	118.000000	342.000000	109.000000	9.000000	7.000000	6.000000	5.000000	5.000000	3.614458	2.811245	2.409639	2.008032	2.008032	6225	26	37	52	35.421000	0	50	48	163	113	4945	27	26	24	24	79	0	0	0	0	0	252	97	255	254	4945	45	44	34	30	79	0	0	0	0	0	255	254	252	251	4945	1269	4	3	3	79	20	0	0	0
1	231	4.712376	45.922220	0.773305	40.408399	0.476643	-0.609588	2.000000	5.000000	4.000000	3.000000	6.000000	44.000000	34.000000	32.000000	27.000000	22.000000	19.047619	14.718615	13.852814	11.688312	9.523810	0.433230	-0.028081	323.000000	330.000000	307.000000	305.000000	124.000000	6.000000	5.000000	5.000000	5.000000	5.000000	2.597403	2.164502	2.164502	2.164502	2.164502	5775	25	37	51	35.008000	0	171	161	163	173	4606	26	26	25	24	79	0	0	0	0	0	138	223	224	215	4606	25	21	20	20	79	0	0	0	0	0	255	254	253	252	4606	1166	1	1	1	79	20	0	0	0
1	270	2.517300	66.804641	2.195076	20.882421	-1.104669	0.231116	2.000000	3.000000	4.000000	1.000000	5.000000	127.000000	68.000000	33.000000	29.000000	9.000000	47.037037	25.185185	12.222222	10.740741	3.333333	0.582863	0.132866	20.000000	357.000000	40.000000	21.000000	19.000000	7.000000	5.000000	5.000000	5.000000	5.000000	2.592593	1.851852	1.851852	1.851852	1.851852	6750	32	46	60	43.410000	0	197	193	171	100	5139	48	35	29	29	76	0	0	0	0	0	247	253	246	248	5139	52	44	44	41	76	0	0	0	0	0	255	252	253	254	5139	1608	2	1	0	76	23	0	0	0
1	233	4.332099	32.843973	1.814799	33.960668	0.202695	-1.136105	2.000000	3.000000	4.000000	6.000000	1.000000	61.000000	54.000000	27.000000	18.000000	13.000000	26.180258	23.175966	11.587983	7.725322	5.579399	0.436519	-0.303702	331.000000	315.000000	314.000000	313.000000	341.000000	8.000000	6.000000	6.000000	5.000000	4.000000	3.433476	2.575107	2.575107	2.145923	1.716738	5825	39	59	75	54.844000	0	100	107	105	101	4095	38	32	32	30	70	0	0	0	0	0	254	252	251	172	4095	76	53	53	46	70	1	0	0	0	0	255	253	252	251	4095	1711	8	4	4	70	29	0	0	0
1	264	4.931805	86.882196	0.599706	54.038223	0.634717	1.039417	5.000000	2.000000	6.000000	3.000000	4.000000	55.000000	37.000000	34.000000	32.000000	32.000000	20.833333	14.015152	12.878788	12.121212	12.121212	0.023033	0.641288	90.000000	103.000000	98.000000	94.000000	93.000000	6.000000	6.000000	6.000000	6.000000	6.000000	2.272727	2.272727	2.272727	2.272727	2.272727	6600	24	38	60	36.322000	0	86	117	116	120	5042	27	26	26	24	76	0	0	0	0	0	168	128	166	96	5042	45	31	30	30	76	0	0	0	0	0	255	252	249	254	5042	1555	2	1	0	76	23	0	0	0
1	329	7.519506	94.922167	2.587700	8.039971	2.498871	1.363098	12.000000	4.000000	2.000000	3.000000	5.000000	93.000000	44.000000	33.000000	30.000000	30.000000	28.267477	13.373860	10.030395	9.118541	9.118541	-0.613346	0.529635	132.000000	124.000000	164.000000	155.000000	156.000000	13.000000	11.000000	10.000000	10.000000	9.000000	3.951368	3.343465	3.039514	3.039514	2.735562	8225	24	35	53	33.763000	0	98	89	120	92	6494	39	29	28	27	78	0	0	0	0	0	179	149	128	175	6494	34	32	28	27	78	0	0	0	0	0	255	254	251	253	6494	1729	1	1	0	78	21	0	0	0
1	298	3.149421	89.962241	4.370085	4.959926	-0.649295	1.163416	2.000000	3.000000	4.000000	5.000000	1.000000	113.000000	72.000000	33.000000	24.000000	22.000000	37.919463	24.161074	11.073826	8.053691	7.382550	-0.380068	0.536514	128.000000	127.000000	118.000000	130.000000	156.000000	9.000000	8.000000	8.000000	7.000000	6.000000	3.020134	2.684564	2.684564	2.348993	2.013423	7450	27	40	61	38.507000	0	74	96	76	75	5663	34	31	30	27	76	0	0	0	0	0	116	254	158	150	5663	35	29	29	25	76	0	0	0	0	0	255	252	254	253	5663	1777	3	2	2	76	23	0	0	0
1	135	4.417954	23.457102	1.268534	66.505139	0.264544	-1.514010	2.000000	6.000000	3.000000	7.000000	1.000000	39.000000	16.000000	15.000000	13.000000	12.000000	28.888889	11.851852	11.111111	9.629630	8.888889	0.188364	-0.624690	274.000000	276.000000	273.000000	272.000000	270.000000	13.000000	11.000000	9.000000	9.000000	8.000000	9.629630	8.148148	6.666667	6.666667	5.925926	3375	26	37	50	35.193000	0	117	120	115	173	2702	15	13	13	12	80	0	0	0	0	0	255	181	241	182	2702	15	15	13	13	80	0	0	0	0	0	255	253	252	254	2702	670	2	1	0	80	19	0	0	0
1	160	2.791874	44.742101	1.626080	21.284999	-0.906868	-0.657099	2.000000	3.000000	1.000000	4.000000	5.000000	63.000000	42.000000	19.000000	16.000000	11.000000	39.375000	26.250000	11.875000	10.000000	6.875000	0.142338	-0.171205	178.000000	292.000000	282.000000	279.000000	270.000000	4.000000	4.000000	4.000000	4.000000	4.000000	2.500000	2.500000	2.500000	2.500000	2.500000	4000	26	35	48	33.791000	0	136	130	135	134	3236	20	18	17	16	80	0	0	0	0	0	255	195	254	253	3236	32	19	17	17	80	0	0	0	0	0	255	253	252	254	3236	752	6	3	2	80	18	0	0	0
