label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
2	62	3.329145	4.537666	3.329145	4.537666	0.761632	-0.962518	2.000000	3.000000	4.000000	6.000000	1.000000	18.000000	14.000000	14.000000	7.000000	4.000000	29.032258	22.580645	22.580645	11.290323	6.451613	0.596063	-0.688544	295.000000	331.000000	310.000000	339.000000	328.000000	3.000000	3.000000	3.000000	2.000000	2.000000	4.838710	4.838710	4.838710	3.225806	3.225806	1550	183	124	76	136.169000	250	249	248	247	251	97	82	73	67	52	6	5	4	4	3	81	80	79	78	77	59	43	42	40	37	3	2	2	2	2	80	83	88	81	82	58	54	53	51	44	3	3	3	3	2
2	43	3.138464	10.420840	0.190681	5.883173	0.442787	-0.677077	2.000000	4.000000	3.000000	5.000000	1.000000	12.000000	10.000000	8.000000	8.000000	5.000000	27.906977	23.255814	18.604651	18.604651	11.627907	0.414037	-0.714790	288.000000	300.000000	296.000000	295.000000	283.000000	3.000000	2.000000	2.000000	2.000000	2.000000	6.976744	4.651163	4.651163	4.651163	4.651163	1075	188	132	78	142.588000	248	249	250	246	247	66	64	63	51	47	6	5	5	4	4	77	79	78	80	81	41	39	35	34	32	3	3	3	3	2	81	80	83	79	82	56	51	50	43	42	5	4	4	4	3
2	26	2.538552	29.491766	0.599912	19.070926	-0.560347	0.248209	2.000000	4.000000	1.000000	3.000000	5.000000	14.000000	4.000000	3.000000	3.000000	1.000000	53.846154	15.384615	11.538462	11.538462	3.846154	0.172070	-0.453034	303.000000	311.000000	306.000000	275.000000	270.000000	3.000000	2.000000	2.000000	2.000000	2.000000	11.538462	7.692308	7.692308	7.692308	7.692308	650	177	122	76	133.201000	0	252	245	251	250	50	31	22	21	21	7	4	3	3	3	0	91	81	80	90	50	21	19	18	17	7	3	2	2	2	0	90	89	80	79	50	27	26	26	26	7	4	4	4	4
2	29	2.332407	48.507398	0.206145	19.015632	-0.905049	1.170813	2.000000	3.000000	1.000000	4.000000	0.000000	11.000000	11.000000	6.000000	1.000000	0.000000	37.931034	37.931034	20.689655	3.448276	0.000000	0.482010	-0.239521	270.000000	356.000000	355.000000	349.000000	346.000000	3.000000	1.000000	1.000000	1.000000	1.000000	10.344828	3.448276	3.448276	3.448276	3.448276	725	182	115	79	130.929000	250	249	248	251	247	33	27	23	22	20	4	3	3	3	2	80	81	84	77	85	38	37	28	25	24	5	5	3	3	3	79	80	83	85	93	29	27	26	25	24	4	3	3	3	3
2	40	3.808582	78.234045	1.476175	29.726647	1.563315	2.613095	2.000000	5.000000	4.000000	6.000000	3.000000	10.000000	9.000000	7.000000	6.000000	4.000000	25.000000	22.500000	17.500000	15.000000	10.000000	0.069568	0.621799	85.000000	302.000000	119.000000	112.000000	102.000000	2.000000	2.000000	2.000000	2.000000	2.000000	5.000000	5.000000	5.000000	5.000000	5.000000	1000	161	107	79	119.954000	249	250	0	245	246	38	35	25	23	22	3	3	2	2	2	78	81	79	77	80	41	40	40	39	35	4	4	4	3	3	86	88	78	80	85	34	34	32	31	30	3	3	3	3	3
2	39	2.266016	14.439771	1.542567	63.794274	-1.016064	-0.482086	2.000000	1.000000	4.000000	3.000000	0.000000	25.000000	5.000000	5.000000	4.000000	0.000000	64.102564	12.820513	12.820513	10.256410	0.000000	0.265470	-0.619336	283.000000	322.000000	313.000000	295.000000	286.000000	4.000000	2.000000	2.000000	2.000000	2.000000	10.256410	5.128205	5.128205	5.128205	5.128205	975	191	136	80	146.061000	249	250	251	248	252	64	64	62	47	39	6	6	6	4	4	82	85	81	79	80	36	33	33	28	23	3	3	3	2	2	88	87	80	81	90	44	41	32	31	30	4	4	3	3	3
2	51	2.414405	32.932002	0.148390	18.492231	-0.767936	0.415123	2.000000	3.000000	1.000000	4.000000	5.000000	29.000000	12.000000	4.000000	4.000000	2.000000	56.862745	23.529412	7.843137	7.843137	3.921569	0.506310	-0.234934	89.000000	299.000000	296.000000	331.000000	326.000000	8.000000	4.000000	3.000000	2.000000	2.000000	15.686275	7.843137	5.882353	3.921569	3.921569	1275	186	132	96	144.042000	255	0	250	251	249	120	60	50	43	43	9	4	3	3	3	255	0	79	81	77	120	60	39	35	32	9	4	3	2	2	255	0	80	86	83	120	60	39	34	34	9	4	3	2	2
2	47	2.531153	47.157649	0.116748	14.225646	-0.572718	1.105326	2.000000	3.000000	1.000000	4.000000	5.000000	22.000000	12.000000	6.000000	5.000000	2.000000	46.808511	25.531915	12.765957	10.638298	4.255319	-0.062055	-0.116162	94.000000	310.000000	300.000000	281.000000	280.000000	2.000000	2.000000	2.000000	2.000000	2.000000	4.255319	4.255319	4.255319	4.255319	4.255319	1175	178	119	77	131.853000	247	250	249	251	246	47	43	43	41	35	4	3	3	3	2	79	76	78	74	77	45	41	37	35	31	3	3	3	2	2	85	80	81	86	84	44	43	40	36	36	3	3	3	3	3
2	44	3.516564	31.121203	0.985410	16.036445	1.075020	0.327267	2.000000	5.000000	4.000000	1.000000	6.000000	14.000000	10.000000	8.000000	5.000000	5.000000	31.818182	22.727273	18.181818	11.363636	11.363636	0.425455	-0.334439	298.000000	315.000000	302.000000	290.000000	349.000000	3.000000	2.000000	2.000000	2.000000	1.000000	6.818182	4.545455	4.545455	4.545455	2.272727	1100	183	129	78	139.332000	250	249	251	248	247	74	64	53	49	30	6	5	4	4	2	81	79	76	84	86	36	32	29	27	25	3	2	2	2	2	80	79	81	83	82	50	48	44	40	40	4	4	4	3	3
2	47	4.337784	3.422883	0.821220	27.698320	2.448211	-1.016605	2.000000	4.000000	6.000000	3.000000	5.000000	9.000000	9.000000	9.000000	7.000000	7.000000	19.148936	19.148936	19.148936	14.893617	14.893617	0.331156	-0.870771	278.000000	291.000000	295.000000	290.000000	287.000000	5.000000	4.000000	3.000000	3.000000	3.000000	10.638298	8.510638	6.382979	6.382979	6.382979	1175	188	129	83	141.397000	250	251	248	249	245	65	55	46	45	43	5	4	3	3	3	88	80	84	89	79	33	29	28	26	26	2	2	2	2	2	94	80	96	95	78	49	44	40	38	37	4	3	3	3	3
