label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
3	232	3.669088	23.365621	3.669088	23.365621	-1.529013	0.085658	2.000000	3.000000	4.000000	5.000000	6.000000	67.000000	50.000000	34.000000	20.000000	18.000000	28.879310	21.551724	14.655172	8.620690	7.758621	0.440888	-0.514088	270.000000	272.000000	295.000000	278.000000	282.000000	21.000000	8.000000	6.000000	6.000000	5.000000	9.051724	3.448276	2.586207	2.586207	2.155172	5800	222	132	54	150.018000	241	242	251	240	250	514	412	326	307	296	8	7	5	5	5	0	255	72	251	73	270	105	91	86	84	4	1	1	1	1	0	48	49	54	51	265	203	186	184	181	4	3	3	3	3
3	225	3.830803	23.404285	0.161715	0.038665	-1.351459	0.088817	2.000000	3.000000	4.000000	5.000000	6.000000	64.000000	32.000000	31.000000	24.000000	22.000000	28.444444	14.222222	13.777778	10.666667	9.777778	0.221627	-0.505471	89.000000	270.000000	278.000000	90.000000	276.000000	15.000000	8.000000	7.000000	7.000000	6.000000	6.666667	3.555556	3.111111	3.111111	2.666667	5625	218	141	53	153.991000	251	241	250	242	252	410	384	382	357	287	7	6	6	6	5	0	255	245	252	244	295	123	116	113	105	5	2	2	2	1	0	65	47	55	62	294	197	186	185	178	5	3	3	3	3
3	282	3.992761	26.875976	0.161958	3.471691	-1.173638	0.372506	2.000000	3.000000	5.000000	4.000000	6.000000	61.000000	55.000000	50.000000	42.000000	22.000000	21.631206	19.503546	17.730496	14.893617	7.801418	0.235481	-0.398437	89.000000	307.000000	301.000000	299.000000	296.000000	37.000000	7.000000	7.000000	7.000000	7.000000	13.120567	2.482270	2.482270	2.482270	2.482270	7050	196	117	52	133.211000	0	242	241	249	243	568	409	407	379	370	8	5	5	5	5	0	59	63	55	57	595	157	111	105	101	8	2	1	1	1	0	54	56	44	55	581	237	217	216	213	8	3	3	3	3
3	264	3.847812	32.453200	0.144949	5.577223	-1.332784	0.828247	2.000000	3.000000	4.000000	5.000000	1.000000	65.000000	59.000000	33.000000	28.000000	22.000000	24.621212	22.348485	12.500000	10.606061	8.333333	0.436526	-0.286978	270.000000	328.000000	313.000000	332.000000	337.000000	8.000000	7.000000	6.000000	5.000000	4.000000	3.030303	2.651515	2.272727	1.893939	1.515152	6600	220	139	57	153.871000	248	249	247	242	243	541	510	508	411	368	8	7	7	6	5	255	56	58	61	59	158	113	96	87	87	2	1	1	1	1	47	54	48	60	58	242	219	214	213	210	3	3	3	3	3
3	245	5.012419	25.964605	1.164607	6.488594	-0.054109	0.298033	2.000000	4.000000	3.000000	7.000000	5.000000	47.000000	41.000000	38.000000	20.000000	19.000000	19.183673	16.734694	15.510204	8.163265	7.755102	0.299583	-0.417203	270.000000	311.000000	312.000000	310.000000	303.000000	20.000000	12.000000	10.000000	6.000000	6.000000	8.163265	4.897959	4.081633	2.448980	2.448980	6125	230	162	57	170.362000	249	244	248	243	245	564	538	512	509	493	9	8	8	8	8	0	255	225	133	226	260	176	140	95	77	4	2	2	1	1	0	56	61	59	64	249	237	230	225	224	4	3	3	3	3
3	264	4.132219	20.936228	0.880200	5.028378	-1.020520	-0.112860	2.000000	3.000000	5.000000	4.000000	6.000000	70.000000	50.000000	34.000000	32.000000	23.000000	26.515152	18.939394	12.878788	12.121212	8.712121	0.408373	-0.598570	270.000000	282.000000	274.000000	293.000000	277.000000	11.000000	10.000000	9.000000	8.000000	8.000000	4.166667	3.787879	3.409091	3.030303	3.030303	6600	235	154	58	167.275000	248	249	244	242	243	573	556	506	502	501	8	8	7	7	7	255	0	143	212	192	171	105	77	74	72	2	1	1	1	1	61	60	63	54	65	285	282	249	234	233	4	4	3	3	3
3	358	5.117409	11.992863	0.985190	8.943364	0.061164	-0.843665	2.000000	6.000000	4.000000	5.000000	3.000000	68.000000	54.000000	46.000000	46.000000	37.000000	18.994413	15.083799	12.849162	12.849162	10.335196	0.214586	-0.748824	280.000000	270.000000	272.000000	282.000000	279.000000	20.000000	19.000000	17.000000	14.000000	14.000000	5.586592	5.307263	4.748603	3.910615	3.910615	8950	230	144	57	159.796000	245	246	249	247	248	673	671	626	619	570	7	7	6	6	6	255	0	82	84	83	376	210	107	101	101	4	2	1	1	1	65	51	58	54	59	334	326	304	304	300	3	3	3	3	3
3	322	5.948050	8.181977	0.830641	3.810886	0.973163	-1.155071	2.000000	5.000000	8.000000	7.000000	3.000000	48.000000	39.000000	35.000000	31.000000	28.000000	14.906832	12.111801	10.869565	9.627329	8.695652	0.343283	-0.795774	270.000000	276.000000	275.000000	271.000000	286.000000	14.000000	13.000000	13.000000	13.000000	11.000000	4.347826	4.037267	4.037267	4.037267	3.416149	8050	230	143	59	159.437000	249	245	248	244	242	570	542	509	479	474	7	6	6	5	5	255	75	76	72	65	296	103	96	94	88	3	1	1	1	1	54	66	53	52	55	301	297	295	277	276	3	3	3	3	3
3	349	7.106367	4.961225	1.158317	3.220752	2.244932	-1.418254	12.000000	2.000000	3.000000	4.000000	5.000000	69.000000	48.000000	40.000000	35.000000	34.000000	19.770774	13.753582	11.461318	10.028653	9.742120	0.392624	-0.803107	270.000000	290.000000	277.000000	285.000000	278.000000	29.000000	13.000000	13.000000	11.000000	10.000000	8.309456	3.724928	3.724928	3.151862	2.865330	8725	228	155	57	165.655000	249	248	250	242	243	706	655	620	585	541	8	7	7	6	6	255	0	225	224	254	341	280	195	117	91	3	3	2	1	1	64	65	63	66	54	364	362	354	344	321	4	4	4	3	3
3	226	5.557457	13.699966	1.548910	8.738741	0.544313	-0.704169	2.000000	3.000000	6.000000	7.000000	5.000000	46.000000	34.000000	27.000000	25.000000	22.000000	20.353982	15.044248	11.946903	11.061947	9.734513	0.218349	-0.697637	89.000000	277.000000	286.000000	274.000000	273.000000	19.000000	12.000000	11.000000	11.000000	11.000000	8.407080	5.309735	4.867257	4.867257	4.867257	5650	216	125	53	144.001000	242	244	243	247	245	421	413	395	389	352	7	7	6	6	6	0	66	68	67	65	260	95	88	86	85	4	1	1	1	1	54	53	55	0	51	301	263	258	257	247	5	4	4	4	4
