label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
2	19	3.298257	0.000000	3.298257	0.000000	0.461275	-0.705526	3.000000	2.000000	4.000000	6.000000	5.000000	7.000000	5.000000	4.000000	2.000000	1.000000	36.842105	26.315789	21.052632	10.526316	5.263158	0.060685	-0.996559	270.000000	271.000000	275.000000	274.000000	273.000000	5.000000	4.000000	3.000000	2.000000	2.000000	26.315789	21.052632	15.789474	10.526316	10.526316	475	122	81	30	87.445000	165	79	72	55	81	12	10	9	9	8	2	2	1	1	1	117	69	34	37	36	18	17	17	15	15	3	3	3	3	3	22	21	20	18	25	29	22	21	21	20	6	4	4	4	4
2	20	1.856654	64.999806	1.441603	64.999806	-0.769024	1.150224	2.000000	1.000000	0.000000	0.000000	0.000000	16.000000	4.000000	0.000000	0.000000	0.000000	80.000000	20.000000	0.000000	0.000000	0.000000	0.020601	0.299880	89.000000	87.000000	272.000000	271.000000	270.000000	4.000000	3.000000	2.000000	2.000000	2.000000	20.000000	15.000000	10.000000	10.000000	10.000000	500	109	66	30	74.753000	107	59	60	52	102	19	16	14	13	11	3	3	2	2	2	69	83	38	37	32	20	19	19	17	17	4	3	3	3	3	23	24	25	57	22	39	30	25	22	21	7	6	5	4	4
2	43	4.788791	74.418013	2.932137	9.418207	1.733333	1.419115	7.000000	3.000000	2.000000	6.000000	4.000000	15.000000	11.000000	5.000000	5.000000	3.000000	34.883721	25.581395	11.627907	11.627907	6.976744	-0.014401	0.487559	92.000000	91.000000	271.000000	90.000000	89.000000	8.000000	6.000000	5.000000	5.000000	4.000000	18.604651	13.953488	11.627907	11.627907	9.302326	1075	96	58	32	66.398000	64	60	55	69	95	30	24	23	21	19	2	2	2	1	1	36	37	39	35	38	54	45	44	44	37	5	4	4	4	3	24	25	23	28	27	56	47	46	43	43	5	4	4	4	4
2	18	2.865768	33.333034	1.923023	41.084980	0.092178	0.246135	4.000000	1.000000	2.000000	3.000000	0.000000	9.000000	4.000000	4.000000	1.000000	0.000000	50.000000	22.222222	22.222222	5.555556	0.000000	0.053268	-0.330050	272.000000	280.000000	274.000000	279.000000	275.000000	4.000000	2.000000	2.000000	1.000000	1.000000	22.222222	11.111111	11.111111	5.555556	5.555556	450	113	76	29	81.705000	59	57	55	60	56	20	15	15	13	12	4	3	3	2	2	35	34	33	68	32	21	18	17	16	16	4	4	3	3	3	21	24	23	25	22	26	23	21	18	16	5	5	4	4	3
2	26	3.926522	0.000000	1.060754	33.333034	0.997452	-0.705526	2.000000	7.000000	6.000000	1.000000	5.000000	12.000000	6.000000	4.000000	2.000000	2.000000	46.153846	23.076923	15.384615	7.692308	7.692308	0.043110	-0.998578	271.000000	273.000000	270.000000	274.000000	276.000000	10.000000	5.000000	5.000000	3.000000	2.000000	38.461538	19.230769	19.230769	11.538462	7.692308	650	106	67	38	75.355000	59	60	58	66	102	22	17	17	16	14	3	2	2	2	2	35	68	34	38	36	38	36	31	30	28	5	5	4	4	4	24	28	25	23	21	31	27	27	27	26	4	4	4	4	4
2	35	3.278430	8.571428	0.648093	8.571428	0.444354	-0.460811	4.000000	2.000000	3.000000	5.000000	1.000000	13.000000	8.000000	8.000000	4.000000	2.000000	37.142857	22.857143	22.857143	11.428571	5.714286	0.053540	-0.826231	270.000000	274.000000	272.000000	271.000000	276.000000	6.000000	5.000000	5.000000	5.000000	4.000000	17.142857	14.285714	14.285714	14.285714	11.428571	875	124	80	42	88.824000	165	166	164	55	167	40	29	29	19	18	4	3	3	2	2	120	119	36	38	117	37	31	29	28	27	4	3	3	3	3	25	20	86	22	21	37	32	27	27	27	4	3	3	3	3
2	35	5.253361	0.000000	1.974932	8.571428	2.129809	-0.705526	7.000000	5.000000	6.000000	2.000000	3.000000	10.000000	8.000000	7.000000	4.000000	4.000000	28.571429	22.857143	20.000000	11.428571	11.428571	0.035968	-0.999033	271.000000	272.000000	270.000000	275.000000	276.000000	20.000000	5.000000	5.000000	2.000000	1.000000	57.142857	14.285714	14.285714	5.714286	2.857143	875	125	82	46	90.753000	95	160	103	93	92	17	17	15	15	15	1	1	1	1	1	68	35	70	69	36	35	26	23	23	22	4	2	2	2	2	24	60	56	27	28	31	30	28	28	23	3	3	3	3	2
2	36	4.873578	0.000000	0.379783	0.000000	1.805692	-0.705526	6.000000	4.000000	5.000000	1.000000	2.000000	17.000000	5.000000	4.000000	3.000000	3.000000	47.222222	13.888889	11.111111	8.333333	8.333333	0.038427	-0.999094	271.000000	273.000000	272.000000	270.000000	359.000000	10.000000	10.000000	10.000000	6.000000	0.000000	27.777778	27.777778	27.777778	16.666667	0.000000	900	110	68	39	77.252000	60	107	77	67	61	19	18	16	16	16	2	2	1	1	1	38	37	70	34	36	36	28	26	26	24	4	3	2	2	2	26	25	27	22	24	39	37	35	32	31	4	4	3	3	3
2	36	2.826535	74.999622	2.047042	74.999622	0.058696	1.435720	3.000000	2.000000	4.000000	1.000000	5.000000	14.000000	13.000000	7.000000	1.000000	1.000000	38.888889	36.111111	19.444444	2.777778	2.777778	0.055095	0.495655	95.000000	93.000000	91.000000	80.000000	277.000000	4.000000	3.000000	3.000000	3.000000	2.000000	11.111111	8.333333	8.333333	8.333333	5.555556	900	86	51	32	59.299000	58	81	55	51	72	25	20	20	19	18	2	2	2	2	2	36	35	32	31	37	40	39	38	36	32	4	4	4	4	3	23	20	25	19	24	42	41	40	40	36	4	4	4	4	4
2	34	2.735810	76.470571	0.090725	1.470948	-0.018731	1.477715	3.000000	4.000000	2.000000	1.000000	0.000000	11.000000	9.000000	8.000000	6.000000	0.000000	32.352941	26.470588	23.529412	17.647059	0.000000	-0.055361	0.525438	271.000000	94.000000	92.000000	99.000000	91.000000	8.000000	4.000000	4.000000	3.000000	3.000000	23.529412	11.764706	11.764706	8.823529	8.823529	850	80	50	30	56.690000	59	58	57	55	54	34	32	28	26	23	4	3	3	3	2	32	31	34	36	37	54	42	39	37	36	6	4	4	4	4	23	21	24	22	18	48	43	41	40	39	5	5	4	4	4
2	20	2.327973	44.999961	0.407837	31.470610	-0.366789	0.579227	2.000000	3.000000	4.000000	0.000000	0.000000	14.000000	3.000000	3.000000	0.000000	0.000000	70.000000	15.000000	15.000000	0.000000	0.000000	0.011639	-0.100923	270.000000	272.000000	271.000000	95.000000	92.000000	4.000000	4.000000	2.000000	2.000000	2.000000	20.000000	20.000000	10.000000	10.000000	10.000000	500	98	58	28	66.540000	73	55	72	74	58	18	16	15	14	14	3	3	3	2	2	40	39	38	37	36	25	23	23	22	20	5	4	4	4	4	25	23	22	20	24	34	33	33	32	24	6	6	6	6	4
2	40	4.124933	27.499979	1.796960	17.499982	1.166781	0.079601	4.000000	6.000000	3.000000	2.000000	5.000000	13.000000	10.000000	6.000000	5.000000	5.000000	32.500000	25.000000	15.000000	12.500000	12.500000	0.015190	-0.449598	271.000000	270.000000	92.000000	90.000000	276.000000	17.000000	7.000000	3.000000	3.000000	2.000000	42.500000	17.500000	7.500000	7.500000	5.000000	1000	104	65	33	73.013000	61	71	60	65	62	24	23	22	21	20	2	2	2	2	2	34	37	35	38	36	51	47	42	37	31	5	4	4	3	3	22	23	24	19	16	52	46	44	41	38	5	4	4	4	3
2	49	5.054405	0.000000	0.929471	27.499979	1.960014	-0.705526	7.000000	6.000000	2.000000	3.000000	1.000000	19.000000	7.000000	6.000000	6.000000	4.000000	38.775510	14.285714	12.244898	12.244898	8.163265	0.044462	-0.998522	272.000000	271.000000	270.000000	273.000000	276.000000	19.000000	17.000000	4.000000	3.000000	2.000000	38.775510	34.693878	8.163265	6.122449	4.081633	1225	119	77	41	85.454000	157	103	94	76	60	25	18	18	18	18	2	1	1	1	1	34	38	69	40	37	37	35	34	32	32	3	2	2	2	2	23	28	25	19	24	42	42	38	38	37	3	3	3	3	3
2	44	4.240154	0.000000	0.814250	0.000000	1.265113	-0.705526	4.000000	3.000000	6.000000	2.000000	7.000000	10.000000	8.000000	8.000000	7.000000	5.000000	22.727273	18.181818	18.181818	15.909091	11.363636	0.064360	-0.996619	271.000000	272.000000	270.000000	276.000000	273.000000	9.000000	8.000000	8.000000	4.000000	4.000000	20.454545	18.181818	18.181818	9.090909	9.090909	1100	117	74	40	82.981000	79	78	73	80	81	26	20	20	18	17	2	1	1	1	1	40	37	38	31	34	42	34	33	32	30	3	3	3	2	2	22	27	26	23	18	45	43	41	36	35	4	3	3	3	3
2	32	3.382410	6.250000	0.857744	6.250000	0.533093	-0.527088	2.000000	3.000000	4.000000	5.000000	1.000000	8.000000	8.000000	5.000000	5.000000	3.000000	25.000000	25.000000	15.625000	15.625000	9.375000	0.062740	-0.871156	270.000000	273.000000	274.000000	280.000000	278.000000	8.000000	5.000000	4.000000	3.000000	3.000000	25.000000	15.625000	12.500000	9.375000	9.375000	800	117	74	35	82.411000	71	103	75	72	80	16	15	15	15	14	2	1	1	1	1	36	39	37	34	38	34	29	28	27	24	4	3	3	3	3	27	23	25	21	22	40	36	34	33	29	5	4	4	4	3
2	41	3.896779	0.000000	0.514369	6.250000	0.972069	-0.705526	3.000000	2.000000	6.000000	5.000000	4.000000	12.000000	9.000000	9.000000	6.000000	3.000000	29.268293	21.951220	21.951220	14.634146	7.317073	0.040206	-0.998896	271.000000	272.000000	270.000000	274.000000	273.000000	12.000000	9.000000	8.000000	6.000000	4.000000	29.268293	21.951220	19.512195	14.634146	9.756098	1025	110	70	38	78.312000	104	80	95	70	82	20	18	17	17	16	1	1	1	1	1	69	31	38	37	36	34	33	31	31	30	3	3	3	3	2	23	24	25	26	16	41	41	37	32	32	4	4	3	3	3
2	36	3.562537	0.000000	0.334242	0.000000	0.686818	-0.705526	3.000000	5.000000	4.000000	2.000000	1.000000	17.000000	9.000000	4.000000	3.000000	2.000000	47.222222	25.000000	11.111111	8.333333	5.555556	0.048800	-0.998391	272.000000	271.000000	275.000000	273.000000	270.000000	10.000000	7.000000	5.000000	5.000000	5.000000	27.777778	19.444444	13.888889	13.888889	13.888889	900	115	73	38	81.568000	148	150	149	67	63	16	14	14	14	14	1	1	1	1	1	36	38	40	37	35	33	28	24	23	22	3	3	2	2	2	24	22	23	21	27	33	32	30	28	27	3	3	3	3	3
2	33	2.962442	30.302989	0.600096	30.302989	0.174682	0.159627	4.000000	2.000000	3.000000	1.000000	0.000000	12.000000	9.000000	9.000000	3.000000	0.000000	36.363636	27.272727	27.272727	9.090909	0.000000	0.030142	-0.394619	270.000000	273.000000	271.000000	272.000000	93.000000	7.000000	7.000000	6.000000	2.000000	2.000000	21.212121	21.212121	18.181818	6.060606	6.060606	825	108	68	34	76.084000	54	73	56	57	76	23	20	19	18	15	2	2	2	2	1	31	35	32	38	39	25	25	25	24	23	3	3	3	2	2	16	24	22	26	25	40	37	35	30	28	4	4	4	3	3
2	36	2.965461	0.000000	0.003019	30.302989	0.177258	-0.705526	3.000000	4.000000	2.000000	1.000000	0.000000	14.000000	11.000000	8.000000	3.000000	0.000000	38.888889	30.555556	22.222222	8.333333	0.000000	0.062962	-0.996432	270.000000	275.000000	273.000000	272.000000	280.000000	10.000000	5.000000	5.000000	5.000000	3.000000	27.777778	13.888889	13.888889	13.888889	8.333333	900	107	67	39	75.768000	77	73	74	56	78	21	19	18	17	15	2	2	2	1	1	35	33	37	40	38	33	32	31	28	27	3	3	3	3	3	25	24	26	18	22	48	42	34	30	28	5	4	3	3	3
2	31	2.994163	0.000000	0.028702	0.000000	0.201753	-0.705526	2.000000	4.000000	3.000000	5.000000	0.000000	13.000000	12.000000	5.000000	1.000000	0.000000	41.935484	38.709677	16.129032	3.225806	0.000000	0.065383	-0.997319	273.000000	272.000000	274.000000	275.000000	270.000000	9.000000	6.000000	5.000000	3.000000	3.000000	29.032258	19.354839	16.129032	9.677419	9.677419	775	108	65	32	74.095000	69	71	79	68	74	24	23	19	17	16	3	2	2	2	2	37	39	36	38	42	37	33	31	30	27	4	4	4	3	3	25	23	21	24	20	40	39	35	31	30	5	5	4	4	3
2	31	2.487483	0.000000	0.506679	0.000000	-0.230659	-0.705526	2.000000	3.000000	1.000000	5.000000	4.000000	12.000000	9.000000	6.000000	3.000000	1.000000	38.709677	29.032258	19.354839	9.677419	3.225806	0.133888	-0.980115	270.000000	274.000000	275.000000	280.000000	278.000000	6.000000	4.000000	3.000000	2.000000	2.000000	19.354839	12.903226	9.677419	6.451613	6.451613	775	86	50	28	58.256000	113	56	52	73	55	43	23	21	19	19	5	2	2	2	2	36	31	37	32	87	39	37	35	34	33	5	4	4	4	4	23	62	13	26	16	37	34	33	31	31	4	4	4	4	4
2	35	2.706832	22.857141	0.219349	22.857141	-0.043462	-0.052953	3.000000	2.000000	4.000000	1.000000	0.000000	17.000000	12.000000	5.000000	1.000000	0.000000	48.571429	34.285714	14.285714	2.857143	0.000000	0.045105	-0.539864	274.000000	276.000000	271.000000	273.000000	270.000000	5.000000	4.000000	4.000000	3.000000	3.000000	14.285714	11.428571	11.428571	8.571429	8.571429	875	107	68	32	75.557000	79	52	46	73	56	19	18	17	16	16	2	2	1	1	1	31	30	38	69	34	32	29	28	26	26	3	3	3	2	2	23	16	24	19	18	37	33	32	32	30	4	3	3	3	3
2	15	2.227885	19.999999	0.478947	2.857141	-0.452207	-0.134524	3.000000	1.000000	2.000000	0.000000	0.000000	6.000000	5.000000	4.000000	0.000000	0.000000	40.000000	33.333333	26.666667	0.000000	0.000000	-0.010657	-0.472095	273.000000	272.000000	271.000000	276.000000	270.000000	4.000000	3.000000	2.000000	1.000000	1.000000	26.666667	20.000000	13.333333	6.666667	6.666667	375	120	76	34	84.368000	81	250	149	106	103	9	6	6	6	6	2	1	1	1	1	69	30	40	26	37	17	14	13	13	12	4	3	3	3	3	18	22	25	27	13	18	17	16	14	14	4	4	4	3	3
