label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
0	821	4.261126	99.264581	4.261126	99.264581	0.043756	-0.600937	5.000000	4.000000	6.000000	3.000000	2.000000	225.000000	212.000000	169.000000	119.000000	75.000000	27.405603	25.822168	20.584653	14.494519	9.135201	-0.125887	0.958967	88.000000	87.000000	89.000000	98.000000	97.000000	82.000000	66.000000	53.000000	50.000000	37.000000	9.987820	8.038977	6.455542	6.090134	4.506699	20525	203	201	210	202.624000	255	248	241	254	246	2711	482	474	472	450	13	2	2	2	2	255	248	254	253	242	2434	438	413	386	382	11	2	2	1	1	255	254	253	252	249	7848	542	376	293	266	38	2	1	1	1
0	809	4.266112	99.687421	0.004986	0.422840	0.051785	0.811776	5.000000	4.000000	6.000000	3.000000	2.000000	242.000000	198.000000	156.000000	128.000000	72.000000	29.913473	24.474660	19.283066	15.822002	8.899876	-0.115507	0.962957	88.000000	87.000000	97.000000	86.000000	92.000000	66.000000	60.000000	56.000000	43.000000	42.000000	8.158220	7.416564	6.922126	5.315204	5.191595	20225	204	203	212	204.325000	255	254	248	246	245	2540	532	526	471	455	12	2	2	2	2	255	248	254	253	246	2355	458	451	400	395	11	2	2	1	1	255	254	253	252	251	7805	556	392	347	298	38	2	1	1	1
0	812	4.210276	99.686229	0.055837	0.001192	-0.038125	0.807793	5.000000	4.000000	6.000000	3.000000	2.000000	249.000000	199.000000	137.000000	129.000000	82.000000	30.665025	24.507389	16.871921	15.886700	10.098522	-0.126013	0.954559	87.000000	88.000000	98.000000	89.000000	93.000000	62.000000	61.000000	46.000000	46.000000	41.000000	7.635468	7.512315	5.665025	5.665025	5.049261	20300	205	203	212	204.624000	255	248	254	246	241	2634	558	516	458	452	12	2	2	2	2	255	254	248	246	253	2272	506	441	423	422	11	2	2	2	2	255	254	253	252	250	7898	548	406	318	282	38	2	2	1	1
0	801	4.183253	99.481349	0.027023	0.204880	-0.081639	0.123287	5.000000	4.000000	6.000000	3.000000	2.000000	243.000000	187.000000	133.000000	125.000000	91.000000	30.337079	23.345818	16.604245	15.605493	11.360799	-0.149780	0.937258	88.000000	87.000000	89.000000	97.000000	96.000000	69.000000	49.000000	48.000000	38.000000	37.000000	8.614232	6.117353	5.992509	4.744070	4.619226	20025	205	203	213	204.738000	255	248	254	251	246	2457	557	483	452	443	12	2	2	2	2	255	254	248	246	253	2149	474	474	414	407	10	2	2	2	2	255	254	253	252	251	7646	503	395	307	290	38	2	1	1	1
0	820	4.196961	99.679198	0.013708	0.197849	-0.059565	0.784302	5.000000	4.000000	6.000000	3.000000	2.000000	252.000000	188.000000	141.000000	123.000000	96.000000	30.731707	22.926829	17.195122	15.000000	11.707317	-0.154653	0.927943	87.000000	88.000000	99.000000	86.000000	104.000000	69.000000	46.000000	41.000000	40.000000	39.000000	8.414634	5.609756	5.000000	4.878049	4.756098	20500	204	202	212	203.738000	255	248	254	246	251	2551	558	500	466	464	12	2	2	2	2	255	248	254	247	249	2234	524	448	407	404	10	2	2	1	1	255	254	253	252	251	7731	490	355	295	274	37	2	1	1	1
0	815	4.179716	99.133123	0.017246	0.546075	-0.087334	-1.040139	5.000000	4.000000	6.000000	3.000000	2.000000	257.000000	180.000000	139.000000	118.000000	97.000000	31.533742	22.085890	17.055215	14.478528	11.901840	-0.155951	0.938413	88.000000	87.000000	89.000000	99.000000	93.000000	73.000000	58.000000	52.000000	46.000000	37.000000	8.957055	7.116564	6.380368	5.644172	4.539877	20375	205	203	213	204.738000	255	248	246	254	253	2595	632	523	498	462	12	3	2	2	2	255	248	253	247	246	2323	494	426	423	415	11	2	2	2	2	255	254	253	252	250	7783	482	354	295	286	38	2	1	1	1
0	825	4.202351	99.512806	0.022635	0.379683	-0.050887	0.228386	5.000000	4.000000	6.000000	3.000000	2.000000	261.000000	190.000000	137.000000	117.000000	107.000000	31.636364	23.030303	16.606061	14.181818	12.969697	-0.164641	0.927996	87.000000	86.000000	88.000000	97.000000	98.000000	68.000000	58.000000	43.000000	42.000000	39.000000	8.242424	7.030303	5.212121	5.090909	4.727273	20625	205	203	213	204.738000	255	248	246	249	251	2702	638	507	494	462	13	3	2	2	2	255	247	246	248	253	2245	468	442	436	410	10	2	2	2	1	255	254	253	252	250	7952	447	352	274	262	38	2	1	1	1
0	794	4.093792	99.494704	0.108559	0.018102	-0.225693	0.167908	5.000000	4.000000	3.000000	2.000000	6.000000	277.000000	191.000000	122.000000	108.000000	85.000000	34.886650	24.055416	15.365239	13.602015	10.705290	-0.151821	0.947763	88.000000	87.000000	89.000000	98.000000	99.000000	69.000000	67.000000	51.000000	44.000000	37.000000	8.690176	8.438287	6.423174	5.541562	4.659950	19850	204	202	211	203.624000	255	249	248	251	246	2878	574	538	500	427	14	2	2	2	2	255	247	248	246	254	2241	462	433	407	405	11	2	2	2	2	255	254	253	251	252	7640	393	315	277	268	38	1	1	1	1
0	776	4.144342	99.599242	0.050550	0.104538	-0.144295	0.517169	5.000000	4.000000	3.000000	6.000000	2.000000	256.000000	183.000000	120.000000	105.000000	94.000000	32.989691	23.582474	15.463918	13.530928	12.113402	-0.153677	0.942409	88.000000	87.000000	98.000000	100.000000	99.000000	80.000000	71.000000	43.000000	39.000000	35.000000	10.309278	9.149485	5.541237	5.025773	4.510309	19400	202	200	210	201.738000	255	249	248	251	246	2529	555	470	439	391	13	2	2	2	2	255	247	246	253	252	1860	449	403	384	361	9	2	2	1	1	255	254	252	253	251	7080	433	336	307	259	36	2	1	1	1
0	762	4.207629	99.455508	0.063288	0.143734	-0.042387	0.036952	5.000000	4.000000	3.000000	6.000000	2.000000	273.000000	180.000000	120.000000	94.000000	84.000000	35.826772	23.622047	15.748031	12.335958	11.023622	-0.140263	0.956279	88.000000	89.000000	87.000000	99.000000	100.000000	72.000000	61.000000	57.000000	50.000000	41.000000	9.448819	8.005249	7.480315	6.561680	5.380577	19050	203	201	211	202.738000	255	249	248	246	251	2473	543	463	428	427	12	2	2	2	2	255	247	246	248	254	1836	416	401	400	398	9	2	2	2	2	255	254	253	250	252	7076	493	327	289	273	37	2	1	1	1
