label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
1	307	8.238211	29.227513	8.238211	29.227513	1.601739	-2.203685	12.000000	2.000000	3.000000	1.000000	4.000000	87.000000	82.000000	50.000000	26.000000	23.000000	28.338762	26.710098	16.286645	8.469055	7.491857	0.296342	-0.469496	271.000000	272.000000	270.000000	273.000000	280.000000	16.000000	12.000000	12.000000	11.000000	10.000000	5.211726	3.908795	3.908795	3.583062	3.257329	7675	140	57	28	78.511000	255	254	252	251	247	190	92	77	73	71	2	1	1	0	0	0	1	3	255	2	3005	119	72	70	63	39	1	0	0	0	0	3	2	1	4	2133	421	390	348	224	27	5	5	4	2
1	281	3.916481	59.853667	4.321730	30.626154	-1.209503	-0.315533	2.000000	3.000000	4.000000	1.000000	5.000000	102.000000	35.000000	35.000000	31.000000	27.000000	36.298932	12.455516	12.455516	11.032028	9.608541	0.105414	0.086444	84.000000	287.000000	281.000000	96.000000	333.000000	5.000000	5.000000	5.000000	5.000000	4.000000	1.779359	1.779359	1.779359	1.779359	1.423488	7025	128	44	23	66.722000	255	249	250	248	247	96	73	66	65	63	1	1	0	0	0	0	1	255	4	3	3044	139	106	95	79	43	1	1	1	1	0	1	3	2	5	2426	501	391	358	237	34	7	5	5	3
1	458	6.728263	63.157184	2.811782	3.303516	0.619533	-0.111866	2.000000	12.000000	3.000000	6.000000	4.000000	81.000000	81.000000	55.000000	44.000000	43.000000	17.685590	17.685590	12.008734	9.606987	9.388646	0.300998	0.123488	271.000000	270.000000	274.000000	31.000000	28.000000	20.000000	12.000000	10.000000	9.000000	9.000000	4.366812	2.620087	2.183406	1.965066	1.965066	11450	150	69	37	89.571000	255	252	254	253	249	358	188	184	184	169	3	1	1	1	1	0	1	255	2	3	4321	276	231	168	127	37	2	2	1	1	0	1	2	3	4	3482	598	500	452	366	30	5	4	3	3
1	283	5.328983	68.314851	1.399280	5.157667	-0.290685	0.206113	2.000000	3.000000	6.000000	12.000000	7.000000	57.000000	55.000000	34.000000	27.000000	25.000000	20.141343	19.434629	12.014134	9.540636	8.833922	-0.282223	0.142130	111.000000	270.000000	176.000000	132.000000	179.000000	8.000000	7.000000	7.000000	7.000000	6.000000	2.826855	2.473498	2.473498	2.473498	2.120141	7075	141	68	39	86.521000	255	252	251	253	254	199	111	111	110	102	2	1	1	1	1	0	255	1	2	4	2804	187	121	98	77	39	2	1	1	1	0	1	2	3	4	2204	468	313	295	201	31	6	4	4	2
1	443	5.100362	78.155513	0.228621	9.840663	-0.439401	0.812805	2.000000	3.000000	4.000000	12.000000	1.000000	120.000000	71.000000	57.000000	57.000000	42.000000	27.088036	16.027088	12.866817	12.866817	9.480813	0.096938	0.342430	87.000000	147.000000	176.000000	70.000000	46.000000	8.000000	8.000000	7.000000	7.000000	7.000000	1.805869	1.805869	1.580135	1.580135	1.580135	11075	144	63	28	83.229000	255	254	249	251	253	333	181	151	146	137	3	1	1	1	1	0	1	2	3	255	4118	215	113	96	89	37	1	1	0	0	0	1	3	2	4	3485	597	499	498	360	31	5	4	4	3
1	647	12.905489	85.995375	7.805127	7.839862	4.637757	1.296146	12.000000	2.000000	4.000000	3.000000	5.000000	272.000000	88.000000	70.000000	55.000000	39.000000	42.040185	13.601236	10.819165	8.500773	6.027821	-0.030242	0.607395	105.000000	88.000000	87.000000	86.000000	107.000000	27.000000	26.000000	21.000000	16.000000	15.000000	4.173107	4.018547	3.245750	2.472952	2.318393	16175	134	46	18	69.120000	255	254	249	253	33	261	136	127	120	117	1	0	0	0	0	0	1	2	3	4	6275	469	360	195	166	38	2	2	1	1	0	1	2	3	4	5608	1143	890	850	564	34	7	5	5	3
1	612	9.348272	13.990689	3.557218	72.004686	2.323822	-3.143060	12.000000	2.000000	3.000000	4.000000	9.000000	197.000000	91.000000	43.000000	39.000000	39.000000	32.189542	14.869281	7.026144	6.372549	6.372549	0.328932	-0.677910	284.000000	278.000000	287.000000	276.000000	275.000000	23.000000	22.000000	21.000000	19.000000	18.000000	3.758170	3.594771	3.431373	3.104575	2.941176	15300	132	44	19	67.462000	255	34	254	32	36	234	146	120	114	112	1	0	0	0	0	0	1	2	3	4	6464	362	216	202	152	42	2	1	1	0	0	1	3	2	4	5153	995	898	883	572	33	6	5	5	3
1	294	3.951255	39.301819	5.397017	25.311130	-1.186884	-1.582588	2.000000	3.000000	4.000000	1.000000	6.000000	75.000000	62.000000	40.000000	33.000000	23.000000	25.510204	21.088435	13.605442	11.224490	7.823129	0.152366	-0.245632	271.000000	276.000000	273.000000	272.000000	275.000000	8.000000	8.000000	7.000000	7.000000	6.000000	2.721088	2.721088	2.380952	2.380952	2.040816	7350	158	68	34	91.034000	255	254	248	249	252	185	106	105	93	82	2	1	1	1	1	0	1	255	253	254	2194	153	148	73	64	29	2	2	0	0	0	3	1	2	4	1891	356	333	303	278	25	4	4	4	3
1	439	5.160628	43.023346	1.209373	3.721527	-0.400198	-1.353150	2.000000	3.000000	4.000000	5.000000	12.000000	107.000000	68.000000	59.000000	58.000000	42.000000	24.373576	15.489749	13.439636	13.211845	9.567198	0.123654	-0.169191	277.000000	278.000000	286.000000	275.000000	285.000000	15.000000	14.000000	11.000000	9.000000	8.000000	3.416856	3.189066	2.505695	2.050114	1.822323	10975	162	80	37	99.616000	255	253	251	254	252	475	192	189	185	178	4	1	1	1	1	0	1	255	2	4	3272	220	190	134	91	29	2	1	1	0	0	1	3	2	4	2953	612	446	396	308	26	5	4	3	2
1	513	7.326179	76.163543	2.165551	33.140197	1.008471	0.689997	12.000000	2.000000	3.000000	4.000000	5.000000	94.000000	92.000000	67.000000	59.000000	43.000000	18.323587	17.933723	13.060429	11.500975	8.382066	-0.070192	0.379359	98.000000	93.000000	101.000000	295.000000	103.000000	13.000000	10.000000	9.000000	8.000000	8.000000	2.534113	1.949318	1.754386	1.559454	1.559454	12825	145	60	27	81.653000	255	254	252	250	253	351	177	163	156	152	2	1	1	1	1	0	1	2	255	4	4905	305	164	128	127	38	2	1	0	0	0	1	3	2	4	3987	807	628	619	414	31	6	4	4	3
