label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
1	133	3.163580	79.924892	3.163580	79.924892	0.649179	1.006519	2.000000	3.000000	1.000000	4.000000	6.000000	47.000000	29.000000	22.000000	10.000000	9.000000	35.338346	21.804511	16.541353	7.518797	6.766917	0.435950	0.287292	347.000000	349.000000	171.000000	36.000000	2.000000	5.000000	4.000000	4.000000	4.000000	4.000000	3.759398	3.007519	3.007519	3.007519	3.007519	3325	61	70	112	72.097000	20	19	22	21	51	98	88	80	78	71	2	2	2	2	2	15	13	16	123	121	111	80	67	62	56	3	2	2	1	1	23	22	183	45	179	66	51	50	46	44	1	1	1	1	1
1	145	4.075877	31.693834	0.912297	48.231058	2.146139	-2.068129	2.000000	1.000000	3.000000	12.000000	5.000000	58.000000	27.000000	18.000000	15.000000	6.000000	40.000000	18.620690	12.413793	10.344828	4.137931	0.339574	-0.248084	107.000000	328.000000	324.000000	348.000000	341.000000	4.000000	4.000000	4.000000	3.000000	3.000000	2.758621	2.758621	2.758621	2.068966	2.068966	3625	55	62	99	64.125000	19	21	20	18	22	152	139	137	110	108	4	3	3	3	2	15	13	14	16	0	139	138	135	88	67	3	3	3	2	1	23	24	22	25	26	106	86	75	66	61	2	2	2	1	1
1	110	2.718812	55.211759	1.357065	23.517924	-0.080628	-0.568901	2.000000	3.000000	1.000000	4.000000	5.000000	48.000000	23.000000	14.000000	13.000000	5.000000	43.636364	20.909091	12.727273	11.818182	4.545455	0.255404	-0.120644	4.000000	133.000000	5.000000	321.000000	281.000000	4.000000	4.000000	4.000000	3.000000	3.000000	3.636364	3.636364	3.636364	2.727273	2.727273	2750	38	48	87	49.456000	19	21	18	20	22	145	118	116	107	93	5	4	4	3	3	13	15	14	16	12	152	115	112	74	74	5	4	4	2	2	23	24	25	22	21	81	81	76	68	61	2	2	2	2	2
1	141	3.696417	50.885359	0.977605	4.326400	1.523495	-0.844702	2.000000	1.000000	3.000000	4.000000	7.000000	51.000000	27.000000	19.000000	10.000000	7.000000	36.170213	19.148936	13.475177	7.092199	4.964539	0.742319	-0.089969	350.000000	351.000000	355.000000	348.000000	347.000000	10.000000	9.000000	7.000000	6.000000	5.000000	7.092199	6.382979	4.964539	4.255319	3.546099	3525	56	61	100	63.951000	19	20	21	22	18	116	112	111	91	77	3	3	3	2	2	13	15	14	86	16	134	108	105	70	65	3	3	2	1	1	23	24	25	22	0	97	76	67	57	47	2	2	1	1	1
1	165	2.991425	75.887776	0.704992	25.002418	0.366695	0.749160	2.000000	3.000000	1.000000	4.000000	5.000000	69.000000	30.000000	27.000000	13.000000	6.000000	41.818182	18.181818	16.363636	7.878788	3.636364	0.054623	0.168794	334.000000	173.000000	9.000000	171.000000	147.000000	6.000000	5.000000	5.000000	4.000000	4.000000	3.636364	3.030303	3.030303	2.424242	2.424242	4125	55	64	105	65.983000	19	20	21	18	60	160	155	118	103	92	3	3	2	2	2	13	14	15	12	11	212	119	87	79	67	5	2	2	1	1	23	25	24	21	22	84	74	71	69	66	2	1	1	1	1
1	127	2.182997	61.316520	0.808429	14.571256	-0.959831	-0.179733	2.000000	1.000000	3.000000	4.000000	7.000000	73.000000	27.000000	17.000000	6.000000	2.000000	57.480315	21.259843	13.385827	4.724409	1.574803	0.104855	0.006852	163.000000	357.000000	344.000000	342.000000	340.000000	5.000000	3.000000	3.000000	3.000000	3.000000	3.937008	2.362205	2.362205	2.362205	2.362205	3175	63	59	90	63.730000	20	18	19	0	71	84	60	59	55	54	2	1	1	1	1	13	67	74	71	72	84	67	60	60	57	2	2	1	1	1	21	23	40	85	22	45	42	40	39	38	1	1	1	1	1
1	92	3.482290	46.670285	1.299293	14.646236	1.172140	-1.113406	2.000000	1.000000	3.000000	4.000000	8.000000	38.000000	15.000000	14.000000	8.000000	4.000000	41.304348	16.304348	15.217391	8.695652	4.347826	0.447604	-0.214801	12.000000	13.000000	14.000000	334.000000	332.000000	9.000000	6.000000	4.000000	3.000000	3.000000	9.782609	6.521739	4.347826	3.260870	3.260870	2300	66	62	89	66.274000	19	20	21	22	18	142	114	100	95	72	6	4	4	4	3	15	13	14	16	17	122	116	99	83	48	5	5	4	3	2	23	24	22	21	25	98	78	73	64	53	4	3	3	2	2
1	157	2.455139	73.625023	1.027151	26.954739	-0.513280	0.604913	2.000000	3.000000	1.000000	4.000000	5.000000	72.000000	32.000000	27.000000	14.000000	7.000000	45.859873	20.382166	17.197452	8.917197	4.458599	0.311064	0.236874	347.000000	346.000000	134.000000	10.000000	349.000000	9.000000	5.000000	5.000000	4.000000	3.000000	5.732484	3.184713	3.184713	2.547771	1.910828	3925	56	61	99	63.837000	19	20	21	18	66	127	120	110	97	76	3	3	2	2	1	13	14	15	12	11	187	91	86	65	64	4	2	2	1	1	23	25	22	24	21	87	75	70	63	63	2	1	1	1	1
1	219	2.832809	69.337092	0.377670	4.287931	0.106427	0.331565	2.000000	3.000000	1.000000	4.000000	5.000000	87.000000	59.000000	29.000000	19.000000	12.000000	39.726027	26.940639	13.242009	8.675799	5.479452	0.314799	0.109520	1.000000	104.000000	344.000000	358.000000	355.000000	9.000000	7.000000	6.000000	5.000000	5.000000	4.109589	3.196347	2.739726	2.283105	2.283105	5475	47	56	95	57.755000	0	20	21	19	18	283	177	158	152	113	5	3	2	2	2	13	0	14	11	15	199	181	115	100	93	3	3	2	1	1	25	23	22	24	26	112	106	88	81	71	2	1	1	1	1
1	86	2.788268	70.727466	0.044542	1.390374	0.033340	0.420199	2.000000	1.000000	3.000000	5.000000	4.000000	38.000000	16.000000	11.000000	7.000000	5.000000	44.186047	18.604651	12.790698	8.139535	5.813953	-0.261163	0.151215	165.000000	166.000000	167.000000	168.000000	319.000000	9.000000	6.000000	5.000000	4.000000	3.000000	10.465116	6.976744	5.813953	4.651163	3.488372	2150	60	66	108	68.994000	20	19	21	18	54	84	80	71	69	56	3	3	3	3	2	15	14	16	13	57	81	59	54	51	37	3	2	2	2	1	22	23	24	21	25	47	47	45	36	31	2	2	2	1	1
